TT,Trường THPT,Chỉ tiêu,NV 1,NV 2,NV 3,Tổng,Tỷ lệ chọi
1,Phan Đình Phùng,720,1832,32,31,1895,3
2,Phạm Hồng Thái,585,1139,1361,309,2809,2
3,Nguyễn Trãi - Ba Đình,688,1185,1761,1344,4290,2
4,Tây Hồ,765,1387,1408,641,3436,2
5,Trần Phú,765,1677,591,48,2316,2
6,Việt Đức,945,1903,87,28,2018,2
7,Thăng Long,720,1571,97,24,1692,2
8,Trần Nhân Tông,720,1287,1326,151,2764,2
9,Đoàn Kết - Hai Bà Trưng,675,1200,1509,975,3684,2
10,Đống Đa,675,1038,1312,463,2813,2
11,Hoàng Cầu,540,846,1881,1727,4454,2
12,Kim Liên,765,1980,132,30,2142,3
13,Lê Quý Đôn - Đống Đa,675,1411,537,39,1987,2
14,Quang Trung - Đống Đa,675,1174,1370,364,2908,2
15,Nhân Chính,585,1530,468,53,2051,2.62
16,Trần Hưng Đạo - Thanh Xuân,675,1339,1644,1008,3991,2
17,Khương Đình,675,1148,1621,1225,3994,1.7
18,Khương Hạ,450,702,1222,885,2809,1.56
19,Cầu Giấy,720,1543,938,145,2626,2.14
20,Yên Hòa,765,2568,67,29,2664,3.36
21,Hoàng Văn Thụ,765,1307,1104,719,3130,1.71
22,Trương Định,675,1138,1277,700,3115,1.69
23,Việt Nam - Ba Lan,720,1141,618,186,1945,1.58
24,Đỗ Mười,675,926,2486,2614,6026,1.37
25,Ngô Thì Nhậm,720,1020,573,334,1927,1.42
26,Ngọc Hồi,675,975,494,358,1827,1.44
27,Đông Mỹ,675,831,1615,1472,3918,1.23
28,Nguyễn Quốc Trinh,765,801,1709,1476,3986,1.05
29,Nguyễn Gia Thiều,720,1347,15,15,1377,1.87
30,Lý Thường Kiệt,675,1232,995,190,2417,1.83
31,Thạch Bàn,765,1093,2346,2184,5623,1.43
32,Phúc Lợi,765,1127,2031,2056,5214,1.47
33,Cao Bá Quát - Gia Lâm,765,1178,437,149,1764,1.54
34,Dương Xá,720,1260,946,403,2609,1.75
35,Nguyễn Văn Cừ,765,1129,2279,1210,4618,1.48
36,Yên Viên,720,1308,548,352,2208,1.82
37,Đa Phúc,765,930,92,111,1133,1.22
38,Kim Anh,675,920,362,240,1522,1.36
39,Minh Phú,585,890,2271,1195,4356,1.52
40,Sóc Sơn,765,990,40,58,1088,1.29
41,Trung Giã,675,837,321,269,1427,1.24
42,Xuân Giang,630,1020,894,485,2399,1.62
43,Bắc Thăng Long,720,915,337,310,1562,1.27
44,Cổ Loa,675,976,237,193,1406,1.45
45,Đông Anh,675,962,988,530,2480,1.43
46,Liên Hà,675,943,38,44,1025,1.4
47,Vân Nội,765,988,545,279,1812,1.29
48,Phúc Thịnh,675,778,2565,2527,5870,1.15
49,Mê Linh,540,733,76,66,875,1.36
50,Quang Minh,450,592,1009,1135,2736,1.32
51,Tiền Phong,585,826,1495,882,3203,1.41
52,Tiến Thịnh,540,734,1576,1366,3676,1.36
53,Tự Lập,540,684,2246,4604,7534,1.27
54,Yên Lãng,585,715,43,78,836,1.22
55,Nguyễn Thị Minh Khai,675,1799,48,27,1874,2.67
56,Xuân Đỉnh,675,1306,371,69,1746,1.93
57,Thượng Cát,540,931,1349,978,3258,1.72
58,Đại Mỗ,720,1143,2285,3253,6681,1.59
59,Trung Văn,585,994,1597,1607,4198,1.7
60,Xuân Phương,675,1085,1674,1078,3837,1.61
61,Mỹ Đình,765,1515,1309,278,3102,1.98
62,Hoài Đức A,630,1056,483,386,1925,1.68
63,Hoài Đức B,720,1129,614,443,2186,1.57
64,Vạn Xuân - Hoài Đức,675,1057,945,589,2591,1.57
65,THT Hoài Đức C,585,869,1706,1121,3696,1.49
66,Đan Phượng,675,859,113,82,1054,1.27
67,Hồng Thái,630,883,1100,505,2488,1.4
68,Tân Lập,675,1002,1394,1731,4127,1.48
69,Thọ Xuân,540,688,2339,3810,6837,1.27
70,Ngọc Tảo,765,976,310,333,1619,1.28
71,Phúc Thọ,675,949,548,592,2089,1.41
72,Vân Cốc,585,718,1220,1444,3382,1.23
73,Tùng Thiện,765,1469,96,59,1624,1.92
74,Xuân Khanh,675,899,1982,1237,4118,1.33
75,Ba Vì,630,715,927,975,2617,1.13
76,Bất Bạt,450,559,1482,1578,3619,1.24
77,Phổ thông Dân tộc nội trú,140,188,1,1,190,1.34
78,Ngô Quyền - Ba Vì,675,1124,377,107,1608,1.67
79,Quảng Oai,675,1197,213,246,1656,1.77
80,Minh Quang,540,508,1641,4527,6676,0.94
81,Bắc Lương Sơn,540,624,2058,4956,7638,1.16
82,Hai Bà Trưng - Thạch Thất,675,940,1436,1076,3452,1.39
83,Phùng Khắc Khoan - Thạch Thất,675,1095,605,545,2245,1.62
84,Thạch Thất,765,989,108,100,1197,1.29
85,Minh Hà,450,613,2625,1442,4680,1.36
86,Cao Bá Quát - Quốc Oai,585,948,684,517,2149,1.62
87,Minh Khai,675,1021,534,315,1870,1.51
88,Quốc Oai,675,992,14,29,1035,1.47
89,Phan Huy Chú - Quốc Oai,720,985,1903,1418,4306,1.37
90,Lê Quý Đôn - Hà Đông,765,2295,22,23,2340,3
91,Quang Trung - Hà Đông,765,1281,900,121,2302,1.67
92,Trần Hưng Đạo - Hà Đông,720,1155,743,483,2381,1.6
93,Lê Lợi,720,1097,1419,792,3308,1.52
94,Chúc Động,675,929,828,220,1977,1.38
95,Chương Mỹ A,675,1168,94,65,1327,1.73
96,Chương Mỹ B,720,1024,1805,1583,4412,1.42
97,Xuân Mai,675,1028,133,112,1273,1.52
98,Nguyễn Văn Trỗi,720,1059,2532,1767,5358,1.47
99,Nguyễn Du - Thanh Oai,675,1073,300,370,1743,1.59
100,Thanh Oai A,720,1342,1234,557,3133,1.86
101,Thanh Oai B,720,1264,964,1014,3242,1.76
102,Thường Tín,675,838,38,66,942,1.24
103,Nguyễn Trãi - Thường Tín,540,764,1418,2048,4230,1.41
104,Lý Tử Tấn,585,837,2143,2209,5189,1.43
105,Tô Hiệu - Thường Tín,585,855,621,374,1850,1.46
106,Vân Tảo,630,870,658,604,2132,1.38
107,Đồng Quan,585,821,291,229,1341,1.4
108,Phú Xuyên A,675,891,100,211,1202,1.32
109,Phú Xuyên B,675,957,586,354,1897,1.42
110,Tân Dân,495,609,1876,825,3310,1.23
111,Hợp Thanh,585,656,1062,388,2106,1.12
112,Mỹ Đức A,720,861,105,164,1130,1.2
113,Mỹ Đức B,585,859,105,96,1060,1.47
114,Mỹ Đức C,675,672,1309,1743,3724,1
115,Đại Cường,450,422,1519,4196,6137,0.94
116,Lưu Hoàng,585,519,1638,3954,6111,0.89
117,Trần Đăng Ninh,585,769,815,238,1822,1.31
118,Ứng Hòa A,585,803,599,906,2308,1.37
119,Ứng Hòa B,585,617,2162,3242,6021,1.05
120,Hoàng Quán Chi,450,794,1695,1555,4044,1.76
